t_sec,no_corr_abs_wz,imu_abs_wz,flow_abs_wz
0.000000,0.06241374,0.03968237,0.05648479
0.025041,0.06008821,0.03968237,0.05747832
0.050082,0.05312475,0.04358416,0.06033476
0.075123,0.04814680,0.04932250,0.06079830
0.100164,0.04481855,0.05488138,0.06025330
0.125204,0.04287493,0.05898263,0.05931606
0.150245,0.04204511,0.06729430,0.05849687
0.175286,0.04087037,0.07585297,0.05587696
0.200327,0.04383718,0.08109819,0.05564441
0.225368,0.04857163,0.08630518,0.05563322
0.250409,0.05300015,0.08717592,0.05401458
0.275450,0.06069561,0.08632022,0.05075652
0.300491,0.05768697,0.08599884,0.04667188
0.325532,0.05294752,0.08468179,0.04221430
0.350573,0.05414901,0.08247162,0.03778564
0.375613,0.05935016,0.07951906,0.03473375
0.400654,0.06210119,0.07585129,0.03753852
0.425695,0.06335070,0.06920684,0.04286564
0.450736,0.06400155,0.05848908,0.04799155
0.475777,0.06887697,0.04795243,0.04788387
0.500818,0.07205477,0.04118579,0.04899434
0.525859,0.07448765,0.03429074,0.05060756
0.550900,0.07648866,0.03608734,0.05223884
0.575941,0.06442934,0.04153816,0.05528306
0.600982,0.06392172,0.04696299,0.05817001
0.626022,0.06829456,0.05113696,0.06051018
0.651063,0.07273171,0.05242101,0.06198715
0.676104,0.07854624,0.05253210,0.06128046
0.701145,0.08678908,0.05270631,0.05546576
0.726186,0.09601950,0.05410919,0.04835036
0.751227,0.10460682,0.05685003,0.04281690
0.776268,0.10043561,0.06011830,0.04501105
0.801309,0.09385352,0.06334174,0.04388219
0.826350,0.08512092,0.06574466,0.04072683
0.851390,0.07549381,0.06492987,0.03727309
0.876431,0.08865597,0.06256897,0.04709599
0.901472,0.09743382,0.06046468,0.05684788
0.926513,0.10123586,0.06137636,0.06249087
0.951554,0.09986055,0.06257160,0.06180813
0.976595,0.09253471,0.06255861,0.06239791
1.001636,0.08472732,0.06061989,0.06297450
1.026677,0.07594072,0.05982122,0.06260595
1.051718,0.06673772,0.05658942,0.06061992
