t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
0.000000,nan,,,,,,
0.033269,nan,,,,,,
0.066537,nan,,,,,,
0.099904,nan,,,,,,
0.133227,nan,,,,,,
0.166550,nan,,,,,,
0.199979,nan,,,,,,
0.233225,nan,,,,,,
0.266595,nan,,,,,,
0.299983,nan,,,,,,
0.333238,nan,,,,,,
0.366538,nan,,,,,,
0.399989,nan,,,,,,
0.433228,nan,,,,,,
0.466596,nan,,,,,,
0.500453,nan,,,,,,
0.533221,nan,,,,,,
0.566531,nan,,,,,,
0.599990,nan,,,,,,
0.634823,nan,,,,,,
0.666541,nan,,,,,,
0.699868,nan,,,,,,
0.733258,nan,,,,,,
0.766536,nan,,,,,,
0.799934,nan,,,,,,
0.833232,nan,,,,,,
0.866542,nan,,,,,,
0.899909,nan,,,,,,
0.933222,nan,,,,,,
0.966550,nan,,,,,,
0.999856,nan,,,,,,
1.033200,nan,,,,,,
1.066607,nan,,,,,,
1.099899,nan,,,,,,
1.133224,nan,,,,,,
1.166829,nan,,,,,,
1.199888,nan,,,,,,
1.233209,nan,,,,,,
1.266535,nan,,,,,,
1.299887,nan,,,,,,
1.333225,nan,,,,,,
1.366610,nan,,,,,,
1.399932,nan,,,,,,
1.433218,nan,,,,,,
1.466686,nan,,,,,,
1.499886,nan,,,,,,
1.533303,nan,,,,,,
1.566562,nan,,,,,,
1.599888,nan,,,,,,
1.633200,nan,,,,,,
1.666841,nan,,,,,,
1.699862,nan,,,,,,
1.733226,nan,,,,,,
1.766945,nan,,,,,,
1.799907,nan,,,,,,
1.833338,nan,,,,,,
1.866643,nan,,,,,,
1.899898,nan,,,,,,
1.933216,nan,,,,,,
1.966598,nan,,,,,,
1.999891,nan,,,,,,
2.033199,nan,,,,,,
2.066829,nan,,,,,,
2.099900,nan,,,,,,
2.133197,nan,,,,,,
2.167030,nan,,,,,,
2.199881,nan,,,,,,
2.233206,nan,,,,,,
2.266604,nan,,,,,,
2.299884,nan,,,,,,
2.333315,nan,,,,,,
2.369771,nan,,,,,,
2.400263,-0.00162106,,,,,,
2.434761,0.00117845,,,,,,
2.466600,0.00117845,,,,,,
2.499880,0.00011205,,,,,,
2.533183,0.00037909,,,,,,
2.566608,0.00037909,,,,,,
2.599895,-0.00055467,,,,,,
2.633223,0.00051173,,,,,,
2.666696,0.00051173,,,,,,
2.699858,-0.00068731,,,,,,
2.733662,-0.00042028,,,,,,
2.766583,-0.00042028,,,,,,
2.799879,-0.00028763,,,,,,
2.833238,-0.00028763,,,,,,
2.866608,0.00117845,,,,,,
2.899884,0.13574159,,,,,,
2.933211,0.13574159,,,,,,
2.966595,-0.05784335,,,,,,
2.999860,-0.03412782,,,,,,
3.033205,-0.03412782,,,,,,
3.066571,-0.01521020,,,,,,
3.099858,0.01609927,,,,,,
3.133199,0.01609927,,,,,,
3.166576,0.06659339,,,,,,
3.200196,0.06659339,,,,,,
3.233252,0.05153992,,,,,,
3.266578,0.00450853,,,,,,
3.300057,0.00450853,,,,,,
3.334171,-0.01334444,,,,,,
3.366591,-0.06130783,,,,,,
3.399926,-0.06130783,,,,,,
3.433258,0.01396822,,,,,,
3.466637,0.02875639,,,,,,
3.499904,0.02875639,,,,,,
