t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
0.000000,nan,,,,,,
0.033231,nan,,,,,,
0.066576,nan,,,,,,
0.099946,nan,,,,,,
0.133251,nan,,,,,,
0.166564,nan,,,,,,
0.200297,nan,,,,,,
0.233192,nan,,,,,,
0.266541,nan,,,,,,
0.299973,nan,,,,,,
0.333207,nan,,,,,,
0.366564,nan,,,,,,
0.399910,nan,,,,,,
0.433207,nan,,,,,,
0.466593,nan,,,,,,
0.499960,nan,,,,,,
0.533243,nan,,,,,,
0.566587,nan,,,,,,
0.600323,nan,,,,,,
0.633203,nan,,,,,,
0.666764,nan,,,,,,
0.699921,nan,,,,,,
0.733210,nan,,,,,,
0.766634,nan,,,,,,
0.799902,nan,,,,,,
0.833237,nan,,,,,,
0.866639,nan,,,,,,
0.899888,nan,,,,,,
0.933239,nan,,,,,,
0.966625,nan,,,,,,
0.999882,nan,,,,,,
1.033282,nan,,,,,,
1.066648,nan,,,,,,
1.099939,nan,,,,,,
1.133229,nan,,,,,,
1.166689,nan,,,,,,
1.199917,nan,,,,,,
1.233209,nan,,,,,,
1.266557,nan,,,,,,
1.299886,nan,,,,,,
1.333214,nan,,,,,,
1.366571,nan,,,,,,
1.399887,nan,,,,,,
1.433226,nan,,,,,,
1.466559,nan,,,,,,
1.500159,nan,,,,,,
1.533981,nan,,,,,,
1.566571,nan,,,,,,
1.599883,nan,,,,,,
1.633239,nan,,,,,,
1.666564,nan,,,,,,
1.699916,nan,,,,,,
1.733219,nan,,,,,,
1.766564,nan,,,,,,
1.799876,nan,,,,,,
1.833229,nan,,,,,,
1.866543,nan,,,,,,
1.899969,nan,,,,,,
1.933190,nan,,,,,,
1.966584,nan,,,,,,
1.999920,nan,,,,,,
2.033637,nan,,,,,,
2.066778,nan,,,,,,
2.100048,nan,,,,,,
2.133247,nan,,,,,,
2.166558,nan,,,,,,
2.199940,nan,,,,,,
2.233241,nan,,,,,,
2.266562,nan,,,,,,
2.299905,nan,,,,,,
2.333239,nan,,,,,,
2.366559,-0.04623677,,,,,,
2.399909,-0.04623677,,,,,,
2.433240,-0.06795391,,,,,,
2.466533,-0.04890189,,,,,,
2.499882,-0.04890189,,,,,,
2.534949,-0.04890189,,,,,,
2.566552,-0.04890189,,,,,,
2.599896,-0.04890189,,,,,,
2.633273,-0.04890189,,,,,,
2.666565,-0.04890189,,,,,,
2.699899,-0.04890189,,,,,,
2.733282,-0.04890189,,,,,,
2.766584,-0.04890189,,,,,,
2.799903,-0.04890189,,,,,,
2.833281,-0.04890189,,,,,,
2.866606,-0.02585307,,,,,,
2.899888,0.00225894,,,,,,
2.933473,0.02797288,,,,,,
