t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
0.000000,nan,,,,,,
0.033288,nan,,,,,,
0.066615,nan,,,,,,
0.099965,nan,,,,,,
0.133284,nan,,,,,,
0.166633,nan,,,,,,
0.199970,nan,,,,,,
0.233286,nan,,,,,,
0.266686,nan,,,,,,
0.299972,nan,,,,,,
0.333300,nan,,,,,,
0.366738,nan,,,,,,
0.399956,nan,,,,,,
0.433266,nan,,,,,,
0.466613,nan,,,,,,
0.499970,nan,,,,,,
0.533280,nan,,,,,,
0.566611,nan,,,,,,
0.599957,nan,,,,,,
0.633256,nan,,,,,,
0.666605,nan,,,,,,
0.699926,nan,,,,,,
0.733305,nan,,,,,,
0.766593,nan,,,,,,
0.799944,nan,,,,,,
0.833267,nan,,,,,,
0.866626,nan,,,,,,
0.899981,nan,,,,,,
0.933276,nan,,,,,,
0.966854,nan,,,,,,
0.999977,nan,,,,,,
1.033386,nan,,,,,,
1.066652,nan,,,,,,
1.099990,nan,,,,,,
1.133289,nan,,,,,,
1.166632,nan,,,,,,
1.200027,nan,,,,,,
1.233260,nan,,,,,,
1.266663,nan,,,,,,
1.300191,nan,,,,,,
1.333286,nan,,,,,,
1.366605,nan,,,,,,
1.399928,0.00377375,,,,,,
1.433264,-0.00515361,,,,,,
1.466580,0.00217503,,,,,,
1.499925,0.00217503,,,,,,
1.533298,-0.00368753,,,,,,
1.566587,0.00350672,,,,,,
1.599954,0.00350672,,,,,,
1.633285,-0.00328785,,,,,,
1.666518,0.00363936,,,,,,
1.699992,0.00363936,,,,,,
1.733310,-0.00302256,,,,,,
1.766921,0.00323968,,,,,,
1.799971,0.00323968,,,,,,
1.833439,-0.00355489,,,,,,
1.867084,-0.00355489,,,,,,
1.899974,0.00217503,,,,,,
1.933316,-0.00315521,,,,,,
1.966715,0.00310704,,,,,,
1.999949,0.00310704,,,,,,
2.033303,-0.00395457,,,,,,
2.066621,-0.00395457,,,,,,
2.099964,0.00363936,,,,,,
2.133335,-0.00115680,,,,,,
2.166617,-0.00115680,,,,,,
2.199952,0.00004224,,,,,,
2.233383,0.00044192,,,,,,
2.266612,0.00044192,,,,,,
2.299956,-0.00022305,,,,,,
2.333280,0.00177535,,,,,,
2.366612,0.00177535,,,,,,
2.399964,-0.00049009,,,,,,
2.433292,0.00110863,,,,,,
2.466615,0.00110863,,,,,,
2.499962,0.00004224,,,,,,
2.533265,0.00124128,,,,,,
2.566604,0.00124128,,,,,,
2.599957,-0.00075712,,,,,,
2.633281,0.00124128,,,,,,
2.666620,0.00124128,,,,,,
2.699934,-0.00102241,,,,,,
2.733246,0.06972276,,,,,,
2.766589,0.06972276,,,,,,
2.799970,0.07651733,,,,,,
2.833277,0.15579018,,,,,,
2.866634,0.15579018,,,,,,
2.899935,0.11661976,,,,,,
2.933279,-0.10574217,,,,,,
2.966602,-0.10574217,,,,,,
2.999958,-0.08908998,,,,,,
3.033283,-0.08908998,,,,,,
3.066614,-0.06617381,,,,,,
3.099961,-0.18768014,,,,,,
3.133331,-0.18768014,,,,,,
3.166623,-0.17608941,,,,,,
3.199981,-0.06657349,,,,,,
3.233274,-0.06657349,,,,,,
3.266649,-0.16156653,,,,,,
3.299951,0.04733891,,,,,,
3.333285,0.04733891,,,,,,
3.366622,-0.04552307,,,,,,
3.399955,0.05200243,,,,,,
3.433280,0.05200243,,,,,,
3.466587,-0.11520185,,,,,,
3.499919,-0.00675233,,,,,,
3.533279,-0.00675233,,,,,,
3.566649,-0.01967649,,,,,,
3.599952,-0.03326563,,,,,,
3.633273,-0.03326563,,,,,,
3.666623,-0.10454313,,,,,,
3.699952,-0.10454313,,,,,,
3.733317,-0.14411323,,,,,,
3.766604,-0.02007617,,,,,,
3.799982,-0.02007617,,,,,,
3.833288,0.06905605,,,,,,
3.866768,-0.03952787,,,,,,
3.899977,-0.03952787,,,,,,
3.933306,-0.09175336,,,,,,
3.966598,-0.13372154,,,,,,
3.999964,-0.13372154,,,,,,
4.033283,0.00017663,,,,,,
